Country;Region;Start Date;ISO Codes
Antarctica;Antarctica;January 2021;10
Anguilla;Caribbean;January 2018;660
Antigua and Barbuda;Caribbean;January 2018;28
Aruba;Caribbean;January 2018;533
Bahamas;Caribbean;January 2018;44
Barbados;Caribbean;January 2018;52
Bermuda;Caribbean;January 2018;60
British Virgin Islands;Caribbean;January 2018;92
Cayman Islands;Caribbean;January 2018;136
Cuba;Caribbean;January 2018;192
Curacao;Caribbean;January 2018;531
Dominica;Caribbean;January 2018;212
Dominican Republic;Caribbean;January 2018;214
Grenada;Caribbean;January 2018;308
Guadeloupe;Caribbean;January 2018;312
Haiti;Caribbean;January 2018;332
Jamaica;Caribbean;January 2018;388
Martinique;Caribbean;January 2018;474
Montserrat;Caribbean;January 2018;500
Puerto Rico;Caribbean;January 2018;630
Saint-Barthelemy;Caribbean;January 2018;652
Saint Kitts and Nevis;Caribbean;January 2018;659
Saint Lucia;Caribbean;January 2018;662
Saint Vincent and Grenadines;Caribbean;January 2018;670
Saint-Martin;Caribbean;January 2018;663
Caribbean Netherlands;Caribbean;January 2018;535
Sint Maarten;Caribbean;January 2018;534
Trinidad and Tobago;Caribbean;January 2018;780
Turks and Caicos Islands;Caribbean;January 2018;796
Virgin Islands, U.S.;Caribbean;January 2018;850
Afghanistan;Caucasus and Central Asia;January 2017;4
Armenia;Caucasus and Central Asia;January 2018;51
Azerbaijan;Caucasus and Central Asia;January 2018;31
Georgia;Caucasus and Central Asia;January 2018;268
Kazakhstan;Caucasus and Central Asia;January 2018;398
Kyrgyzstan;Caucasus and Central Asia;January 2018;417
Tajikistan;Caucasus and Central Asia;January 2018;762
Turkmenistan;Caucasus and Central Asia;January 2018;795
Uzbekistan;Caucasus and Central Asia;January 2018;860
Belize;Central America;January 2018;84
Costa Rica;Central America;January 2018;188
El Salvador;Central America;January 2018;222
Guatemala;Central America;January 2018;320
Honduras;Central America;January 2018;340
Nicaragua;Central America;January 2018;558
Panama;Central America;January 2018;591
China;East Asia;January 2018;156
Japan;East Asia;January 2018;392
Mongolia;East Asia;January 2018;496
North Korea;East Asia;January 2018;408
South Korea;East Asia;January 2018;410
Taiwan;East Asia;January 2018;158
Burundi;Eastern Africa;January 1997;108
Djibouti;Eastern Africa;January 1997;262
Eritrea;Eastern Africa;January 1997;232
Ethiopia;Eastern Africa;January 1997;231
Kenya;Eastern Africa;January 1997;404
Madagascar;Eastern Africa;January 1997;450
Malawi;Eastern Africa;January 1997;454
Mozambique;Eastern Africa;January 1997;508
Rwanda;Eastern Africa;January 1997;646
Somalia;Eastern Africa;January 1997;706
South Sudan;Eastern Africa;January 2011;728
Tanzania;Eastern Africa;January 1997;834
Uganda;Eastern Africa;January 1997;800
British Indian Ocean Territory;Eastern Africa;January 2018;86
Comoros;Eastern Africa;January 2020;174
Mauritius;Eastern Africa;January 2020;480
Mayotte;Eastern Africa;January 2020;175
Reunion;Eastern Africa;January 2020;638
Seychelles;Eastern Africa;January 2020;690
Albania;Europe;January 2018;8
Belarus;Europe;January 2018;112
Bosnia and Herzegovina;Europe;January 2018;70
Bulgaria;Europe;January 2018;100
Croatia;Europe;January 2018;191
Cyprus;Europe;January 2018;196
Greece;Europe;January 2018;300
Kosovo;Europe;January 2018;0
Moldova;Europe;January 2018;498
Montenegro;Europe;January 2018;499
North Macedonia;Europe;January 2018;807
Romania;Europe;January 2018;642
Russia;Europe;January 2018;643
Serbia;Europe;January 2018;688
Ukraine;Europe;January 2018;804
Andorra;Europe;January 2020;20
Austria;Europe;January 2020;40
Bailiwick of Guernsey;Europe;January 2020;831
Bailiwick of Jersey;Europe;January 2020;832
Belgium;Europe;January 2020;56
Czech Republic;Europe;January 2020;203
Denmark;Europe;January 2020;208
Estonia;Europe;January 2020;233
Faroe Islands;Europe;January 2020;234
Finland;Europe;January 2020;246
France;Europe;January 2020;250
Germany;Europe;January 2020;276
Gibraltar;Europe;January 2020;292
Greenland;Europe;January 2020;304
Hungary;Europe;January 2020;348
Iceland;Europe;January 2020;352
Ireland;Europe;January 2020;372
Isle of Man;Europe;January 2020;833
Italy;Europe;January 2020;380
Latvia;Europe;January 2020;428
Liechtenstein;Europe;January 2020;438
Lithuania;Europe;January 2020;440
Luxembourg;Europe;January 2020;442
Malta;Europe;January 2020;470
Monaco;Europe;January 2020;492
Netherlands;Europe;January 2020;528
Norway;Europe;January 2020;578
Poland;Europe;January 2020;616
Portugal;Europe;January 2020;620
San Marino;Europe;January 2020;674
Slovakia;Europe;January 2020;703
Slovenia;Europe;January 2020;705
Spain;Europe;January 2020;724
Sweden;Europe;January 2020;752
Switzerland;Europe;January 2020;756
United Kingdom;Europe;January 2020;826
Vatican City;Europe;January 2020;336
Angola;Middle Africa;January 1997;24
Cameroon;Middle Africa;January 1997;120
Central African Republic;Middle Africa;January 1997;140
Chad;Middle Africa;January 1997;148
Democratic Republic of Congo;Middle Africa;January 1997;180
Equatorial Guinea;Middle Africa;January 1997;226
Gabon;Middle Africa;January 1997;266
Republic of Congo;Middle Africa;January 1997;178
Sao Tome and Principe;Middle Africa;January 2020;678
Bahrain;Middle East;January 2016;48
Iran;Middle East;January 2016;364
Iraq;Middle East;January 2016;368
Israel;Middle East;January 2016;376
Jordan;Middle East;January 2016;400
Kuwait;Middle East;January 2016;414
Lebanon;Middle East;January 2016;422
Oman;Middle East;January 2016;512
Palestine;Middle East;January 2016;275
Qatar;Middle East;January 2016;634
Saudi Arabia;Middle East;January 2015;682
Syria;Middle East;January 2017;760
Turkey;Middle East;January 2016;792
United Arab Emirates;Middle East;January 2017;784
Yemen;Middle East;January 2015;887
Mexico;North America;January 2018;484
United States;North America;January 2020;840
Canada;North America;January 2021;124
Saint Pierre and Miquelon;North America;January 2021;666
Algeria;Northern Africa;January 1997;12
Egypt;Northern Africa;January 1997;818
Libya;Northern Africa;January 1997;434
Morocco;Northern Africa;January 1997;504
Sudan;Northern Africa;January 1997;729
Tunisia;Northern Africa;January 1997;788
American Samoa;Oceania;January 2021;16
Australia;Oceania;January 2021;36
Christmas Island;Oceania;January 2021;162
Cocos (Keeling) Islands;Oceania;January 2021;166
Cook Islands;Oceania;January 2021;184
Fiji;Oceania;January 2021;242
French Polynesia;Oceania;January 2021;258
Guam;Oceania;January 2021;316
Heard Island and McDonald Islands;Oceania;January 2021;334
Kiribati;Oceania;January 2021;296
Marshall Islands;Oceania;January 2021;584
Micronesia;Oceania;January 2021;583
Nauru;Oceania;January 2021;520
New Caledonia;Oceania;January 2021;540
New Zealand;Oceania;January 2021;554
Niue;Oceania;January 2021;570
Norfolk Island;Oceania;January 2021;574
Northern Mariana Islands;Oceania;January 2021;580
Palau;Oceania;January 2021;585
Papua New Guinea;Oceania;January 2021;598
Pitcairn;Oceania;January 2021;612
Samoa;Oceania;January 2021;882
Solomon Islands;Oceania;January 2021;90
Tokelau;Oceania;January 2021;772
Tonga;Oceania;January 2021;776
Tuvalu;Oceania;January 2021;798
United States Minor Outlying Islands;Oceania;January 2021;581
Vanuatu;Oceania;January 2021;548
Wallis and Futuna;Oceania;January 2021;876
Argentina;South America;January 2018;32
Bolivia;South America;January 2018;68
Brazil;South America;January 2018;76
Chile;South America;January 2018;152
Colombia;South America;January 2018;170
Ecuador;South America;January 2018;218
Falkland Islands;South America;January 2018;238
French Guiana;South America;January 2018;254
Guyana;South America;January 2018;328
Paraguay;South America;January 2018;600
Peru;South America;January 2018;604
Suriname;South America;January 2018;740
Uruguay;South America;January 2018;858
Venezuela;South America;January 2018;862
South Georgia and the South Sandwich Islands;South America;January 2018;239
Bangladesh;South Asia;January 2010;50
India;South Asia;January 2016;356
Nepal;South Asia;January 2010;524
Pakistan;South Asia;January 2010;586
Sri Lanka;South Asia;January 2010;144
Bhutan;South Asia;January 2020;64
Maldives;South Asia;January 2020;462
Cambodia;Southeast Asia;January 2010;116
Indonesia;Southeast Asia;January 2015;360
Laos;Southeast Asia;January 2010;418
Malaysia;Southeast Asia;January 2018;458
Myanmar;Southeast Asia;January 2010;104
Philippines;Southeast Asia;January 2016;608
Thailand;Southeast Asia;January 2010;764
Vietnam;Southeast Asia;January 2010;704
Brunei;Southeast Asia;January 2020;96
East Timor;Southeast Asia;January 2020;626
Singapore;Southeast Asia;January 2020;702
Botswana;Southern Africa;January 1997;72
eSwatini;Southern Africa;January 1997;748
Lesotho;Southern Africa;January 1997;426
Namibia;Southern Africa;January 1997;516
South Africa;Southern Africa;January 1997;710
Zambia;Southern Africa;January 1997;894
Zimbabwe;Southern Africa;January 1997;716
Saint Helena, Ascension and Tristan da Cunha;Southern Africa;January 2020;654
Benin;Western Africa;January 1997;204
Burkina Faso;Western Africa;January 1997;854
Gambia;Western Africa;January 1997;270
Ghana;Western Africa;January 1997;288
Guinea;Western Africa;January 1997;324
Guinea-Bissau;Western Africa;January 1997;624
Ivory Coast;Western Africa;January 1997;384
Liberia;Western Africa;January 1997;430
Mali;Western Africa;January 1997;466
Mauritania;Western Africa;January 1997;478
Niger;Western Africa;January 1997;562
Nigeria;Western Africa;January 1997;566
Senegal;Western Africa;January 1997;686
Sierra Leone;Western Africa;January 1997;694
Togo;Western Africa;January 1997;768
Cape Verde;Western Africa;January 2020;132